Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,5,ebook,"January 21, 2025 → January 26, 2025","read, ♡","Adult, fantasy, fiction, romance",1,527
Nightshade (Sorrowsong University #1),Autumn  Woods,5,ebook,"February 2, 2025 → February 4, 2025",read,"fantasy, mystery, romance, sports",1,359
Limerence (Fated Fixation #1),H.C. Dolores,0,,,,,0,415
"Broken Whispers (Perfectly Imperfect, #2)",Neva Altaj,0,,,,,0,232
The Stranger,Albert Camus,3,Paperback,"January 11, 2025 → January 19, 2025",read,"classics, fiction, literary fiction, philosophy",1,123
"The Risk (Briar U, #2)",Elle Kennedy,5,ebook,"September 20, 2024 → September 22, 2024","read, ♡","Adult, contemporary, romance, sports",1,402
"Until You (Fall Away, #2)",Penelope Douglas,0,Paperback,,,,0,384
Notes from Underground,Fyodor Dostoevsky,0,Paperback,,,,0,136
1984,George Orwell,0,Paperback,,,,0,368
Anna Karenina,Leo Tolstoy,0,Paperback,,,,0,964
Crime and Punishment,Fyodor Dostoevsky,0,Paperback,,,,0,671
Us Dark Few (Us Dark Few #1),Alexis Patton,1,ebook,"February 16, 2025 → February 18, 2025",read,"dystopia, fantasy, romance",1,321
The Vegetarian,Han Kang,0,Hardcover,,,,0,188
Human Acts,Han Kang,0,Hardcover,,,,0,218
"Book of Night (Book of Night, #1)",Holly Black,0,Hardcover,,,,1,304
"Gods and Monsters (Gods and Monsters, #4)",Amber V. Nicole,0,,,,,0,0
"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,3,ebook,"January 7, 2025 → January 10, 2025",read,"fantasy, fiction, romance",1,718
Wings of Starlight,Allison Saft,0,Hardcover,,,,0,400
"This Woven Kingdom (This Woven Kingdom, #1)",Tahereh Mafi,3,ebook,"September 2, 2022 → September 4, 2022",read,"YA, fantasy, fiction, romance",1,512
The True Love Experiment,Christina Lauren,0,Hardcover,,,,0,409
"The Exception to the Rule (The Improbable Meet-Cute, #1)",Christina Lauren,0,,,,,0,101
The Ballad of Falling Dragons,Sarah A. Parker,0,,,,,0,0
"Half a Soul (Regency Faerie Tales, #1)",Olivia Atwater,0,,,,,0,304
Don't Be In Love,Liana Cincotti,0,,,,,0,323
Adoration,June Hur,0,,,,,0,0
"The Floating World (The Floating World, #1)",Axie Oh,0,Hardcover,,,,0,368
Funny Story,Emily Henry,0,Paperback,,,,0,416
"Fragile Sanctuary (Sparrow Falls, #1)",Catherine Cowles,0,Paperback,,,,0,366
Voice of the Ocean,Kelsey Impicciche,4,ebook,"April 26, 2025 → April 30, 2025",read,"YA, fantasy, fiction, romance",1,432
Nocticadia,Keri Lake,4.5,ebook,"January 3, 2025 → January 6, 2025",read,"contemporary, dark, fantasy, gothic, mystery, romance",1,682
A Little Life,Hanya Yanagihara,5,Paperback,"February 4, 2025 → March 11, 2025",read,"contemporary, fiction, literary fiction",0,720
The Secret History,Donna Tartt,5,Paperback,"August 20, 2025 → September 22, 2025","read, ♡","Adult, classics, contemporary, fiction, literary fiction, mystery, thriller",1,559
"The Housemaid (The Housemaid, #1)",Freida McFadden,0,,,,,0,329
I Who Have Never Known Men,Jacqueline Harpman,0,Paperback,,,,0,208
Water Moon,Samantha Sotto Yambao,0,Hardcover,,,,0,384
Pachinko,Min Jin Lee,5,Paperback,"December 15, 2024 → January 1, 2025",read,"historical, literary fiction",1,496
The Games Gods Play,Abigail Owen,0,Hardcover,,,,0,592
Close Protection: The thrilling #FakeDating #BodyguardRomance YA debut from BookTok Content Creator of the Year,Eden Victoria,0,,,,,0,0
Katabasis,R.F. Kuang,0,,,,,0,0
